date,edits
April 13 2016,52
April 14 2016,58
April 15 2016,30
April 18 2016,120
April 19 2016,23
April 20 2016,77
April 21 2016,60
April 22 2016,55
April 26 2016,116
April 27 2016,354
April 28 2016,124
April 29 2016,26
May 02 2016,291
May 03 2016,713
May 04 2016,135
May 05 2016,36
May 06 2016,46
May 09 2016,217
May 10 2016,112
May 11 2016,85
May 12 2016,81
May 13 2016,12
May 16 2016,323
May 17 2016,107
May 18 2016,60
May 19 2016,154
May 20 2016,29
May 23 2016,77
May 24 2016,92
May 25 2016,202
May 26 2016,81
May 27 2016,33
May 30 2016,246
May 31 2016,226
June 01 2016,297
June 02 2016,101
June 03 2016,182
June 06 2016,232
June 07 2016,179
June 08 2016,228
June 09 2016,204
June 10 2016,86
June 13 2016,194
June 14 2016,128
June 15 2016,124
June 16 2016,118
June 17 2016,47
June 20 2016,61
June 21 2016,91
June 22 2016,252
June 23 2016,118
June 24 2016,56
June 27 2016,117
June 28 2016,64
June 29 2016,109
June 30 2016,242
July 01 2016,40
July 04 2016,112
July 05 2016,181
July 06 2016,346
July 07 2016,39
July 08 2016,49
July 11 2016,71
July 12 2016,59
July 13 2016,115
July 14 2016,192
July 15 2016,51
July 18 2016,116
July 19 2016,90
July 20 2016,49
July 21 2016,120
July 22 2016,57
July 25 2016,134
July 26 2016,45
July 27 2016,82
